"package","version","library","shadowed_version","built"
"abind","1.4-8","R_LIBS_USER",,"4.4.2"
"annotate","1.84.0","R_LIBS_USER",,"4.4.2"
"AnnotationDbi","1.68.0","R_LIBS_USER",,"4.4.2"
"AnnotationHub","3.14.0","R_LIBS_USER",,"4.4.2"
"askpass","1.2.1","R module",,"4.4.2"
"assertthat","0.2.1","R_LIBS_USER",,"4.4.2"
"assorthead","1.0.1","R_LIBS_USER",,"4.4.2"
"babelgene","22.9","R_LIBS_USER",,"4.4.2"
"backports","1.5.1","R_LIBS_USER",,"4.4.2"
"base","4.4.2","R module",,"4.4.2"
"base64enc","0.1-3","R module",,"4.4.2"
"beachmat","2.22.0","R_LIBS_USER",,"4.4.2"
"BH","1.90.0-1","R_LIBS_USER",,"4.4.2"
"bigmemory","4.6.4","R_LIBS_USER",,"4.4.2"
"bigmemory.sri","0.1.8","R_LIBS_USER",,"4.4.2"
"Biobase","2.66.0","R_LIBS_USER",,"4.4.2"
"BiocFileCache","2.14.0","R_LIBS_USER",,"4.4.2"
"BiocGenerics","0.52.0","R_LIBS_USER",,"4.4.2"
"BiocManager","1.30.27","R_LIBS_USER",,"4.4.2"
"BiocNeighbors","2.0.1","R_LIBS_USER",,"4.4.2"
"BiocParallel","1.40.2","R_LIBS_USER",,"4.4.2"
"BiocSingular","1.22.0","R_LIBS_USER",,"4.4.2"
"BiocVersion","3.20.0","R_LIBS_USER",,"4.4.2"
"Biostrings","2.74.1","R_LIBS_USER",,"4.4.2"
"bit","4.6.0","R_LIBS_USER",,"4.4.2"
"bit64","4.8.0","R_LIBS_USER",,"4.4.2"
"bitops","1.0-9","R_LIBS_USER",,"4.4.2"
"blob","1.3.0","R_LIBS_USER",,"4.4.2"
"bluster","1.16.0","R_LIBS_USER",,"4.4.2"
"boot","1.3-32","R_LIBS_USER",,"4.4.2"
"brew","1.0-10","R module",,"4.4.2"
"brio","1.1.5","R module",,"4.4.2"
"broom","1.0.12","R_LIBS_USER",,"4.4.2"
"bslib","0.8.0","R module",,"4.4.2"
"cachem","1.1.0","R module",,"4.4.2"
"callr","3.7.6","R module",,"4.4.2"
"car","3.1-5","R_LIBS_USER",,"4.4.2"
"carData","3.0-6","R_LIBS_USER",,"4.4.2"
"caTools","1.18.3","R_LIBS_USER",,"4.4.2"
"cellranger","1.1.0","R_LIBS_USER",,"4.4.2"
"cli","3.6.6","R_LIBS_USER","3.6.3","4.4.2"
"clipr","0.8.0","R module",,"4.4.2"
"cluster","2.1.8.2","R_LIBS_USER",,"4.4.2"
"codetools","0.2-20","R_LIBS_USER",,"4.4.2"
"colorspace","2.1-2","R_LIBS_USER",,"4.4.2"
"commonmark","1.9.2","R module",,"4.4.2"
"compiler","4.4.2","R module",,"4.4.2"
"conflicted","1.2.0","R_LIBS_USER",,"4.4.2"
"corrplot","0.95","R_LIBS_USER",,"4.4.2"
"cowplot","1.2.0","R_LIBS_USER",,"4.4.2"
"cpp11","0.5.4","R_LIBS_USER","0.5.0","4.4.2"
"crayon","1.5.3","R module",,"4.4.2"
"credentials","2.0.2","R module",,"4.4.2"
"crosstalk","1.2.2","R_LIBS_USER",,"4.4.2"
"curl","6.0.1","R module",,"4.4.2"
"data.table","1.18.2.1","R_LIBS_USER",,"4.4.2"
"datasets","4.4.2","R module",,"4.4.2"
"DBI","1.3.0","R_LIBS_USER",,"4.4.2"
"dbplyr","2.5.2","R_LIBS_USER",,"4.4.2"
"DelayedArray","0.32.0","R_LIBS_USER",,"4.4.2"
"DelayedMatrixStats","1.28.1","R_LIBS_USER",,"4.4.2"
"deldir","2.0-4","R_LIBS_USER",,"4.4.2"
"Deriv","4.2.0","R_LIBS_USER",,"4.4.2"
"desc","1.4.3","R module",,"4.4.2"
"DESeq2","1.46.0","R_LIBS_USER",,"4.4.2"
"devtools","2.4.5","R module",,"4.4.2"
"diffobj","0.3.5","R module",,"4.4.2"
"digest","0.6.37","R module",,"4.4.2"
"doBy","4.7.1","R_LIBS_USER",,"4.4.2"
"dotCall64","1.2","R_LIBS_USER",,"4.4.2"
"downlit","0.4.4","R module",,"4.4.2"
"dplyr","1.2.1","R_LIBS_USER",,"4.4.2"
"dqrng","0.4.1","R_LIBS_USER",,"4.4.2"
"dtplyr","1.3.3","R_LIBS_USER",,"4.4.2"
"edgeR","4.4.2","R_LIBS_USER",,"4.4.2"
"ellipsis","0.3.3","R_LIBS_USER","0.3.2","4.4.2"
"evaluate","1.0.5","R_LIBS_USER","1.0.1","4.4.2"
"ExperimentHub","2.14.0","R_LIBS_USER",,"4.4.2"
"fansi","1.0.6","R module",,"4.4.2"
"farver","2.1.2","R_LIBS_USER",,"4.4.2"
"fastDummies","1.7.6","R_LIBS_USER",,"4.4.2"
"fastglm","0.0.4","R_LIBS_USER",,"4.4.2"
"fastmap","1.2.0","R module",,"4.4.2"
"filelock","1.0.3","R_LIBS_USER",,"4.4.2"
"fitdistrplus","1.2-6","R_LIBS_USER",,"4.4.2"
"FNN","1.1.4.1","R_LIBS_USER",,"4.4.2"
"fontawesome","0.5.3","R module",,"4.4.2"
"forcats","1.0.1","R_LIBS_USER",,"4.4.2"
"forecast","9.0.2","R_LIBS_USER",,"4.4.2"
"formatR","1.14","R_LIBS_USER",,"4.4.2"
"Formula","1.2-5","R_LIBS_USER",,"4.4.2"
"fracdiff","1.5-4","R_LIBS_USER",,"4.4.2"
"fs","1.6.5","R module",,"4.4.2"
"futile.logger","1.4.9","R_LIBS_USER",,"4.4.2"
"futile.options","1.0.1","R_LIBS_USER",,"4.4.2"
"future","1.70.0","R_LIBS_USER",,"4.4.2"
"future.apply","1.20.2","R_LIBS_USER",,"4.4.2"
"gargle","1.6.1","R_LIBS_USER",,"4.4.2"
"generics","0.1.4","R_LIBS_USER",,"4.4.2"
"GenomeInfoDb","1.42.3","R_LIBS_USER",,"4.4.2"
