package,version
absl-py,2.1.0
adjustText,1.1.1
affine,2.4.0
aiobotocore,2.5.4
aiohttp,3.9.5
aioitertools,0.11.0
aiosignal,1.3.1
alabaster,0.7.16
anndata,0.10.8
annotated-types,0.7.0
app-model,0.2.7
appdirs,1.4.4
argparse-dataclass,2.0.0
array_api_compat,1.7.1
asciitree,0.3.3
assorthead,0.0.11
asttokens,2.4.1
attrs,23.2.0
autodocsumm,0.2.10
Babel,2.12.1
beautifulsoup4,4.12.3
BiocFrame,0.5.9
biocutils,0.1.5
bleach,6.1.0
bokeh,3.3.4
botocore,1.31.17
Brotli,1.1.0
build,1.2.1
cachey,0.2.1
cell2location,0.1.4
cellpose,4.0.7
cellrank,2.0.7
certifi,2024.6.2
cfgv,3.4.0
charset-normalizer,2.1.1
chex,0.1.86
choreographer,1.2.1
click-default-group,1.2.4
click-plugins,1.1.1
click,8.1.7
cligj,0.7.2
cloudpickle,3.0.0
cmake,3.28.3
colorcet,3.1.0
comm,0.2.2
conda-inject,1.3.2
ConfigArgParse,1.7
connection_pool,0.0.3
contextlib2,21.6.0
contourpy,1.0.7
cycler,0.11.0
Cython,3.0.8
cytoolz,0.12.3
czifile,2019.7.2
dask-expr,1.1.19
dask-image,2023.8.1
dask,2024.11.2
datashader,0.16.2
datrie,0.8.2
debugpy,1.8.2
decorator,5.1.1
decoupler,1.9.2
defusedxml,0.7.1
DelayedArray,0.5.0
distlib,0.3.9
distributed,2024.11.2
distro,1.9.0
docformatter,1.7.5
docopt,0.6.2
docrep,0.3.2
docstring_parser,0.16
docutils,0.18.1
dpath,2.2.0
EasyProcess,1.1
elementpath,4.2.1
entrypoint2,1.1
et-xmlfile,1.1.0
etils,1.9.2
exceptiongroup,1.2.0
executing,2.0.1
fasteners,0.19
fastjsonschema,2.19.1
fastremap,1.15.0
fcsparser,0.2.8
filelock,3.11.0
fill_voids,2.1.1
fiona,1.9.6
flax,0.8.4
flexcache,0.3
flexparser,0.3.1
fonttools,4.39.3
freetype-py,2.4.0
frozenlist,1.4.1
fsspec,2023.6.0
GenomicRanges,0.4.15
geojson,3.1.0
geopandas,1.0.0
gitdb,4.0.12
GitPython,3.1.44
greenlet,3.5.2
h5py,3.11.0
harmonypy,0.0.9
HeapDict,1.0.1
hsluv,5.0.4
humanfriendly,10.0
identify,2.6.9
idna,3.7
igraph,0.11.8
imagecodecs-lite,2019.12.3
imagecodecs,2024.6.1
imageio-ffmpeg,0.4.9
imageio,2.34.2
imagesize,1.4.1
immutables,0.21
importlib_metadata,8.0.0
importlib_resources,6.4.0
in-n-out,0.2.1
inflate64,1.0.0
inflect,7.3.0
iniconfig,2.3.0
ipykernel,6.29.4
ipympl,0.9.8
ipython,8.25.0
ipywidgets,8.1.2
IRanges,0.2.3
jax,0.4.29
jaxlib,0.4.29
jedi,0.19.1
Jinja2,3.0.3
jmespath,1.0.1
joblib,1.4.2
jsonschema-specifications,2023.12.1
jsonschema,4.22.0
jupyterlab_pygments,0.3.0
jupyterlab_widgets,3.0.10
jupyter_client,8.6.2
jupyter_core,5.7.2
kaleido,0.2.1
KDEpy,1.1.9
kiwisolver,1.4.4
kneed,0.8.5
lamin_utils,0.13.2
lazy_loader,0.4
legacy-api-wrap,1.4
leidenalg,0.10.2
liana,1.5.1
lightning-utilities,0.11.2
lightning,2.1.4
lit,17.0.6
llvmlite,0.44.0
locket,1.0.0
logistro,2.0.1
loguru,0.7.2
loompy,3.0.7
louvain,0.8.2
lxml,4.9.4
lz4,4.3.3
magicgui,0.8.3
markdown-it-py,2.2.0
MarkupSafe,2.1.5
matplotlib-inline,0.1.7
matplotlib-scalebar,0.8.1
matplotlib,3.9.0
mattress,0.1.6
mdit-py-plugins,0.3.5
mdurl,0.1.2
microsaa,0.0.2
mistune,3.0.2
mizani,0.13.1
ml-dtypes,0.4.0
ml_collections,0.1.1
more-itertools,10.3.0
mpmath,1.3.0
msgpack,1.0.8
mudata,0.2.3
multidict,6.0.5
multipledispatch,1.0.0
multiscale_spatial_image,2.0.2
multivolumefile,0.2.3
munkres,1.1.4
mypy-extensions,1.0.0
myst-parser,1.0.0
napari-console,0.0.9
napari-matplotlib,2.0.1
napari-plugin-engine,0.2.0
napari-spatialdata,0.4.1
napari-svg,0.2.0
napari,0.4.19.post1
natsort,8.4.0
nbclient,0.9.0
nbconvert,7.16.2
nbformat,5.9.2
nbsphinx,0.9.1
ncls,0.0.68
nest-asyncio,1.6.0
networkx,3.1
nodeenv,1.9.1
npe2,0.7.6
nptyping,2.5.0
numba,0.61.0
numcodecs,0.12.1
numexpr,2.9.0
numpy-groupies,0.10.2
numpy,1.26.4
numpydoc,1.7.0
numpyro,0.15.0
nvidia-cublas-cu11,11.10.3.66
nvidia-cublas-cu12,12.8.4.1
nvidia-cuda-cupti-cu11,11.7.101
nvidia-cuda-cupti-cu12,12.8.90
nvidia-cuda-nvrtc-cu11,11.7.99
nvidia-cuda-nvrtc-cu12,12.8.93
nvidia-cuda-runtime-cu11,11.7.99
nvidia-cuda-runtime-cu12,12.8.90
nvidia-cudnn-cu11,8.5.0.96
nvidia-cudnn-cu12,9.10.2.21
nvidia-cufft-cu11,10.9.0.58
nvidia-cufft-cu12,11.3.3.83
nvidia-cufile-cu12,1.13.1.3
nvidia-curand-cu11,10.2.10.91
nvidia-curand-cu12,10.3.9.90
nvidia-cusolver-cu11,11.4.0.1
nvidia-cusolver-cu12,11.7.3.90
nvidia-cusparse-cu11,11.7.4.91
nvidia-cusparse-cu12,12.5.8.93
nvidia-cusparselt-cu12,0.7.1
nvidia-nccl-cu11,2.14.3
nvidia-nccl-cu12,2.27.5
nvidia-nvjitlink-cu12,12.8.93
nvidia-nvshmem-cu12,3.3.20
nvidia-nvtx-cu11,11.7.91
nvidia-nvtx-cu12,12.8.90
ome-types,0.4.5
ome-zarr,0.9.0
omnipath,1.0.8
opencv-python-headless,4.10.0.84
opencv-python,4.9.0.80
openpyxl,3.1.1
openslide-bin,4.0.0.8
openslide-python,1.4.2
opt-einsum,3.3.0
optax,0.2.2
orbax-checkpoint,0.5.16
orjson,3.11.5
packaging,24.1
pandas,2.0.0
pandocfilters,1.5.1
param,2.1.1
parso,0.8.4
partd,1.4.2
patool,2.2.0
patsy,0.5.6
pexpect,4.9.0
pickleshare,0.7.5
Pillow,9.5.0
PIMS,0.3.0
Pint,0.24.1
pip,24.0
pipreqs,0.4.13
plac,1.4.3
platformdirs,4.2.2
playwright,1.60.0
plotly,5.14.1
plotnine,0.14.5
pluggy,1.6.0
ply,3.11
polars-runtime-32,1.40.1
polars,1.40.1
pooch,1.8.2
pre_commit,4.2.0
progressbar2,4.5.0
prompt_toolkit,3.0.47
protobuf,5.27.1
psutil,6.0.0
psygnal,0.11.1
ptyprocess,0.7.0
PuLP,2.9.0
pure-eval,0.2.2
py-cpuinfo,9.0.0
py7zr,0.20.8
pyarrow-hotfix,0.6
pyarrow,16.1.0
pybanksy,1.3.4
pybcj,1.0.2
pyconify,0.1.6
pycryptodomex,3.20.0
pyct,0.5.0
pydantic-compat,0.1.2
pydantic,2.7.4
pydantic_core,2.18.4
pyee,13.0.1
pygam,0.12.0
pygeos,0.14
Pygments,2.15.0
pygpcca,1.0.4
pylibCZIrw,6.0.1
pynndescent,0.5.13
pynrrd,1.0.0
pyogrio,0.9.0
PyOpenGL,3.1.7
pypandoc,1.11
pyparsing,3.1.2
pyppmd,1.1.0
pyproj,3.6.1
pyproject_hooks,1.1.0
PyQt5-sip,12.13.0
PyQt5,5.15.10
PyQt6-Qt6,6.7.3
PyQt6,6.7.1
PyQt6_sip,13.8.0
pyqtgraph,0.13.7
pyro-api,0.1.2
pyro-ppl,1.9.1
pySankey,0.0.1
PySCIPOpt,5.4.1
PySocks,1.7.1
pytest-timeout,2.4.0
pytest,9.0.2
python-dateutil,2.9.0.post0
python-igraph,0.11.8
python-utils,3.9.1
pytorch-lightning,2.2.5
pytz,2023.3
pyunpack,0.3
PyWavelets,1.4.1
PyYAML,6.0
pyzmq,26.0.3
pyzstd,0.15.9
qtconsole,5.5.2
QtPy,2.4.1
rasterio,1.3.9
readfcs,1.1.8
readthedocs-sphinx-search,0.3.1
referencing,0.35.1
requests,2.28.1
reretry,0.11.8
resource-backed-dask-array,0.1.0
rich,13.7.1
roifile,2024.9.15
rpds-py,0.18.1
ruff,0.2.2
s3fs,2023.6.0
scanpy,1.10.2
scikit-image,0.24.0
scikit-learn,1.5.0
scikit-misc,0.3.1
scipy,1.13.1
scvelo,0.3.3
scvi-tools,1.1.2
seaborn,0.13.2
segment-anything,1.0
session_info,1.0.0
setuptools,69.1.0
shapely,2.0.4
shellingham,1.5.4
SimpleITK-SimpleElastix,2.0.0rc2.dev910
simplejson,3.20.2
sinfo,0.3.4
singler,0.1.2
sip,6.7.12
six,1.16.0
slicerator,1.1.0
smart-open,7.1.0
smmap,5.0.2
snakemake-interface-common,1.17.4
snakemake-interface-executor-plugins,9.3.3
snakemake-interface-report-plugins,1.1.0
snakemake-interface-storage-plugins,3.3.0
snakemake,8.27.1
snowballstemmer,2.2.0
snuggs,1.4.7
sortedcontainers,2.4.0
soupsieve,2.5
spatialdata-io,0.1.6
spatialdata-plot,0.2.8
spatialdata,0.2.6
spatial_image,1.1.0
sphinx-rtd-theme,1.2.0
Sphinx,6.1.3
sphinxcontrib-applehelp,1.0.4
sphinxcontrib-devhelp,1.0.2
sphinxcontrib-htmlhelp,2.0.1
sphinxcontrib-jquery,4.1
sphinxcontrib-jsmath,1.0.1
sphinxcontrib-qthelp,1.0.3
sphinxcontrib-serializinghtml,1.1.5
squidpy,1.5.0
stack-data,0.6.3
STalign,1.0
statsmodels,0.14.2
stdlib-list,0.10.0
SummarizedExperiment,0.4.3
superqt,0.6.7
sympy,1.11.1
tables,3.9.2
tabulate,0.9.0
tblib,3.0.0
tenacity,8.2.2
tensorstore,0.1.61
texttable,1.7.0
threadpoolctl,3.5.0
throttler,1.2.2
tifffile,2024.9.20
tinycss2,1.3.0
tomli,2.0.1
tomli_w,1.0.0
toolz,0.12.1
toposort,1.10
torch,2.0.0
torchmetrics,1.4.0.post0
torchvision,0.24.1
tornado,6.2
tqdm,4.66.4
traitlets,5.14.3
triton,2.0.0
typeguard,4.3.0
typer,0.12.3
typing_extensions,4.12.2
tzdata,2024.1
umap-learn,0.5.6
untokenize,0.1.1
UpSetPlot,0.9.0
urllib3,1.26.19
validators,0.28.3
virtualenv,20.29.3
vispy,0.14.3
wcwidth,0.2.13
webencodings,0.5.1
wheel,0.42.0
widgetsnbextension,4.0.10
wordcloud,1.9.4
wrapt,1.16.0
xarray-dataclasses,1.8.0
xarray-datatree,0.0.14
xarray-schema,0.0.3
xarray-spatial,0.4.0
xarray,2024.11.0
xmlschema,3.0.1
xmltodict,1.0.4
xsdata,24.2.1
xyzservices,2023.10.1
yarg,0.1.9
yarl,1.9.4
yte,1.5.6
zarr,2.15.0
zict,3.0.0
zipp,3.19.2
