,tissue_annotations
cell_00000,Stroma
cell_00001,Immune
cell_00002,Stroma
cell_00003,Immune
cell_00004,Immune
cell_00005,Stroma
cell_00006,Immune
cell_00007,Immune
cell_00008,Immune
cell_00009,Immune
cell_00010,Immune
cell_00011,Immune
cell_00012,Immune
cell_00013,Stroma
cell_00014,Immune
cell_00015,Immune
cell_00016,Immune
cell_00017,Immune
cell_00018,Stroma
cell_00019,Immune
cell_00020,Stroma
cell_00021,Immune
cell_00022,Immune
cell_00023,Immune
cell_00024,Immune
cell_00025,Immune
cell_00026,Immune
cell_00027,Immune
cell_00028,Immune
cell_00029,Immune
cell_00030,Immune
cell_00031,Stroma
cell_00032,Immune
cell_00033,Immune
cell_00034,Immune
cell_00035,Immune
cell_00036,Immune
cell_00037,Immune
cell_00038,Immune
cell_00039,Stroma
cell_00040,Immune
cell_00041,Stroma
cell_00042,Immune
cell_00043,Immune
cell_00044,Stroma
cell_00045,Immune
cell_00046,Immune
cell_00047,Immune
cell_00048,Immune
cell_00049,Immune
cell_00050,Immune
cell_00051,Immune
cell_00052,Immune
cell_00053,Stroma
cell_00054,Immune
cell_00055,Immune
cell_00056,Immune
cell_00057,Immune
cell_00058,Immune
cell_00059,Immune
cell_00060,Stroma
cell_00061,Immune
cell_00062,Immune
cell_00063,Immune
cell_00064,Immune
cell_00065,Stroma
cell_00066,Immune
cell_00067,Immune
cell_00068,Immune
cell_00069,Immune
cell_00070,Immune
cell_00071,Immune
cell_00072,Immune
cell_00073,Immune
cell_00074,Tumor
cell_00075,Immune
cell_00076,Immune
cell_00077,Immune
cell_00078,Immune
cell_00079,Immune
cell_00080,Immune
cell_00081,Immune
cell_00082,Stroma
cell_00083,Immune
cell_00084,Immune
cell_00085,Immune
cell_00086,Immune
cell_00087,Immune
cell_00088,Immune
cell_00089,Immune
cell_00090,Immune
cell_00091,Stroma
cell_00092,Immune
cell_00093,Immune
cell_00094,Immune
cell_00095,Immune
cell_00096,Immune
cell_00097,Immune
cell_00098,Immune
cell_00099,Immune
cell_00100,Stroma
cell_00101,Immune
cell_00102,Immune
cell_00103,Stroma
cell_00104,Immune
cell_00105,Stroma
cell_00106,Immune
cell_00107,Immune
cell_00108,Immune
cell_00109,Immune
cell_00110,Immune
cell_00111,Immune
cell_00112,Immune
cell_00113,Immune
cell_00114,Immune
cell_00115,Stroma
cell_00116,Immune
cell_00117,Immune
cell_00118,Immune
cell_00119,Immune
cell_00120,Immune
cell_00121,Immune
cell_00122,Immune
cell_00123,Immune
cell_00124,Immune
cell_00125,Stroma
cell_00126,Stroma
cell_00127,Immune
cell_00128,Immune
cell_00129,Immune
cell_00130,Immune
cell_00131,Tumor
cell_00132,Tumor
cell_00133,Tumor
cell_00134,Stroma
cell_00135,Tumor
cell_00136,Stroma
cell_00137,Stroma
cell_00138,Tumor
cell_00139,Stroma
cell_00140,Tumor
cell_00141,Stroma
cell_00142,Tumor
cell_00143,Tumor
cell_00144,Stroma
cell_00145,Stroma
cell_00146,Tumor
cell_00147,Tumor
cell_00148,Stroma
cell_00149,Immune
cell_00150,Stroma
cell_00151,Immune
cell_00152,Stroma
cell_00153,Tumor
cell_00154,Stroma
cell_00155,Stroma
cell_00156,Immune
cell_00157,Stroma
cell_00158,Stroma
cell_00159,Immune
cell_00160,Stroma
cell_00161,Stroma
cell_00162,Stroma
cell_00163,Immune
cell_00164,Tumor
cell_00165,Stroma
cell_00166,Stroma
cell_00167,Stroma
cell_00168,Stroma
cell_00169,Stroma
cell_00170,Stroma
cell_00171,Stroma
cell_00172,Stroma
cell_00173,Immune
cell_00174,Immune
cell_00175,Stroma
cell_00176,Stroma
cell_00177,Tumor
cell_00178,Stroma
cell_00179,Tumor
cell_00180,Tumor
cell_00181,Tumor
cell_00182,Tumor
cell_00183,Immune
cell_00184,Stroma
cell_00185,Immune
cell_00186,Stroma
cell_00187,Stroma
cell_00188,Stroma
cell_00189,Stroma
cell_00190,Immune
cell_00191,Stroma
cell_00192,Stroma
cell_00193,Immune
cell_00194,Stroma
cell_00195,Stroma
cell_00196,Immune
cell_00197,Stroma
cell_00198,Immune
cell_00199,Stroma
cell_00200,Immune
cell_00201,Tumor
cell_00202,Tumor
cell_00203,Immune
cell_00204,Immune
cell_00205,Stroma
cell_00206,Stroma
cell_00207,Stroma
cell_00208,Immune
cell_00209,Immune
cell_00210,Tumor
cell_00211,Stroma
cell_00212,Stroma
cell_00213,Stroma
cell_00214,Tumor
cell_00215,Immune
